,mean_importance
0,0.0024192475
1,0.005572294
2,0.005573523
3,0.0057274504
4,0.0055771563
5,0.0025501628
6,0.0056067845
7,0.005928979
8,0.005520597
9,0.0056261653
10,0.0024550932
11,0.0059050694
12,0.005636702
13,0.0058195004
14,0.0058722463
15,0.0024306483
16,0.00561073
17,0.0054974467
18,0.0056398707
19,0.005562302
20,0.0025237491
21,0.0056411093
22,0.0057761827
23,0.0052412087
24,0.005925302
25,0.0025581154
26,0.0053405613
27,0.005639609
28,0.005718678
29,0.0053983256
30,0.0025428873
31,0.005709673
32,0.005560634
33,0.0057139145
34,0.005162685
35,0.0024367075
36,0.0053789346
37,0.0058445386
38,0.005923745
39,0.005726277
40,0.0024431737
41,0.0055347183
42,0.0055131502
43,0.005650905
44,0.005504539
45,0.002616973
46,0.0056969696
47,0.005658348
48,0.005709096
49,0.005618297
50,0.0025237843
51,0.0057227383
52,0.0055355877
53,0.0058779796
54,0.0054237125
55,0.0024293035
56,0.005429732
57,0.0058360407
58,0.005407038
59,0.005525245
60,0.0025296542
61,0.0055153053
62,0.005504204
63,0.0056013744
64,0.0057832077
65,0.0025680177
66,0.005896358
67,0.005789403
68,0.0058010872
69,0.005431895
70,0.0024897363
71,0.0056452663
72,0.0054072086
73,0.0058736843
74,0.005652547
75,0.0024593764
76,0.005523969
77,0.005894832
78,0.0055873063
79,0.005586131
80,0.0026046056
81,0.005442961
82,0.0055541024
83,0.0059079947
84,0.0057565127
85,0.002458976
86,0.0056938543
87,0.005682434
88,0.0055696913
89,0.0056609614
90,0.0025617837
91,0.0054302355
92,0.0054961443
93,0.0057821483
94,0.006045937
95,0.002494142
96,0.005726194
97,0.005959849
98,0.0057079145
99,0.0057490193
100,0.0023401007
101,0.0054154852
102,0.0057582026
103,0.0055334903
104,0.005187693
105,0.0025605299
106,0.005598046
107,0.0055895187
108,0.005582372
109,0.0053906916
110,0.0024855854
111,0.005837746
112,0.0054406165
113,0.005609204
114,0.0056137405
115,0.002411717
116,0.005560591
117,0.0055082873
118,0.005621591
119,0.0059183026
120,0.0024324136
121,0.0055018966
122,0.0059098513
123,0.0056146765
124,0.005783922
125,0.002615538
126,0.0055701667
127,0.0059069223
128,0.00529658
129,0.0054382468
130,0.0024938495
131,0.005430619
132,0.0054055424
133,0.0052352576
134,0.005555584
135,0.0025405872
136,0.0057839165
137,0.0056581716
138,0.005368232
139,0.005635249
140,0.002641777
141,0.0056132325
142,0.005594677
143,0.005843291
144,0.005363951
145,0.0026064645
146,0.005749377
147,0.005786681
148,0.005997849
149,0.005685059
150,0.002507692
151,0.0054857535
152,0.00588163
153,0.005744615
154,0.005312211
155,0.0025614921
156,0.0055677663
157,0.005787799
158,0.00568784
159,0.0054879347
160,0.0024820212
161,0.006051588
162,0.005192504
163,0.005878142
164,0.005281702
165,0.002524893
166,0.005782792
167,0.00569643
168,0.0057753306
169,0.005412105
170,0.0024602343
171,0.005351457
172,0.0054988996
173,0.005493002
174,0.005604873
175,0.0026913271
176,0.00565592
177,0.005804067
178,0.0054152166
179,0.0059783338
180,0.0025776154
181,0.005395437
182,0.0059334477
183,0.005555317
184,0.005243879
185,0.0025165393
186,0.005637598
187,0.00546036
188,0.0054878006
189,0.0052041057
190,0.0025382338
191,0.0060355505
192,0.0058597066
193,0.005409346
194,0.005149217
195,0.0026457694
196,0.0053467504
197,0.005496976
198,0.0059886547
199,0.005660874
