,mean_importance
0,0.0050210864
1,0.005184992
2,0.004963895
3,0.004925155
4,0.0050616963
5,0.0051780418
6,0.0048176576
7,0.0049043857
8,0.0049631023
9,0.005155198
10,0.004808887
11,0.005047851
12,0.0048300037
13,0.0050411234
14,0.0050146384
15,0.004883837
16,0.0050700745
17,0.0052095135
18,0.004970631
19,0.0050587775
20,0.0049372846
21,0.005150881
22,0.005165038
23,0.0049721086
24,0.0050070155
25,0.0050118184
26,0.005022679
27,0.0048967125
28,0.0050673224
29,0.005125009
30,0.0051749665
31,0.0047268597
32,0.005114137
33,0.004965991
34,0.0049391054
35,0.0048295166
36,0.0050193914
37,0.005046442
38,0.0048666177
39,0.004705652
40,0.0050847074
41,0.0047918456
42,0.0050125616
43,0.0048799887
44,0.004966209
45,0.0051218113
46,0.004921631
47,0.0050653275
48,0.004970389
49,0.0049992506
50,0.004881871
51,0.0048538586
52,0.0049959635
53,0.0051745875
54,0.005021135
55,0.0050793136
56,0.0049751177
57,0.0049797455
58,0.0050169
59,0.004941982
60,0.0049553956
61,0.004847694
62,0.005130588
63,0.0047969744
64,0.0048045837
65,0.005030385
66,0.0049574655
67,0.0049703903
68,0.0049962327
69,0.0049041575
70,0.0049393238
71,0.005148945
72,0.0051362803
73,0.0050339913
74,0.005070451
75,0.004720242
76,0.0050568776
77,0.0050333263
78,0.0050795376
79,0.0050972607
80,0.004922982
81,0.005052091
82,0.0050078863
83,0.004910582
84,0.0051002996
85,0.00487509
86,0.0049433424
87,0.005137932
88,0.0050534178
89,0.005012233
90,0.004868445
91,0.004946432
92,0.004909902
93,0.0048806085
94,0.0048214225
95,0.004977017
96,0.004835142
97,0.0049014934
98,0.004979153
99,0.005039388
100,0.004924144
101,0.005006046
102,0.005091851
103,0.0049054483
104,0.00510729
105,0.0050544185
106,0.0050615775
107,0.0049950397
108,0.004895392
109,0.0050107134
110,0.005020182
111,0.0052822656
112,0.005080159
113,0.004800415
114,0.0051628826
115,0.0048649893
116,0.004942512
117,0.0048703193
118,0.0050878683
119,0.005003188
120,0.0050310297
121,0.0049687237
122,0.0052678403
123,0.0051030847
124,0.004905044
125,0.0050045205
126,0.0048968527
127,0.0049676686
128,0.0049044928
129,0.0050197295
130,0.004979786
131,0.0049076
132,0.005121047
133,0.00571293
134,0.004980281
135,0.0050027366
136,0.0049900454
137,0.00500647
138,0.0050921077
139,0.0050233314
140,0.005052385
141,0.0050392495
142,0.0049663126
143,0.005083389
144,0.0051068836
145,0.0049411
146,0.0049165324
147,0.005171653
148,0.0046979846
149,0.004958904
150,0.004989214
151,0.005043384
152,0.004874558
153,0.0050067566
154,0.0049625733
155,0.0050487183
156,0.004967298
157,0.0048121153
158,0.0047695306
159,0.004821635
160,0.0051750434
161,0.0050422987
162,0.004885657
163,0.005033766
164,0.00507892
165,0.005112256
166,0.005015026
167,0.005040313
168,0.004858288
169,0.00495441
170,0.0051492574
171,0.004817856
172,0.0048596803
173,0.0049372157
174,0.005116078
175,0.0051657613
176,0.005098176
177,0.0050661294
178,0.00500532
179,0.0050576692
180,0.005188083
181,0.0050262706
182,0.0048582805
183,0.005024682
184,0.004971429
185,0.0049522426
186,0.005025386
187,0.004990413
188,0.0048719505
189,0.004966085
190,0.0052510994
191,0.005070191
192,0.0059826546
193,0.004859265
194,0.0047934055
195,0.005075502
196,0.0048237788
197,0.0049455417
198,0.0051252306
199,0.0049729203
