,mean_importance
0,0.0049419366
1,0.004936614
2,0.0048271194
3,0.0048994673
4,0.0057648383
5,0.004758933
6,0.0049018324
7,0.0073954687
8,0.004937844
9,0.004756314
10,0.004865186
11,0.0051188134
12,0.0049097245
13,0.004954511
14,0.004831653
15,0.004976795
16,0.0057736575
17,0.00491878
18,0.0049378397
19,0.0050412873
20,0.0048834546
21,0.0048723635
22,0.005645462
23,0.004979067
24,0.005304128
25,0.0049311025
26,0.0049391803
27,0.0048575886
28,0.0050618
29,0.0048193675
30,0.004613871
31,0.0048412867
32,0.0057491222
33,0.0049286783
34,0.0058442852
35,0.0050160484
36,0.0047317226
37,0.004678042
38,0.004923769
39,0.004728995
40,0.004882934
41,0.0054507377
42,0.0054001454
43,0.0048950887
44,0.0050085625
45,0.0048996313
46,0.0049232217
47,0.0049259947
48,0.004988361
49,0.0050921906
50,0.0048177857
51,0.0048449123
52,0.004954213
53,0.004960076
54,0.004691865
55,0.0046958704
56,0.0050606076
57,0.0048811934
58,0.0050943806
59,0.004864591
60,0.005361308
61,0.004769981
62,0.0049166223
63,0.0048227063
64,0.004884076
65,0.0049052685
66,0.005210654
67,0.004932549
68,0.004924544
69,0.0048819054
70,0.0065658875
71,0.0049393894
72,0.004827232
73,0.005361545
74,0.0049687847
75,0.0048014196
76,0.004808123
77,0.004730218
78,0.0049331686
79,0.0048807883
80,0.0052406597
81,0.0050402083
82,0.0048371633
83,0.004893064
84,0.004958785
85,0.0051217303
86,0.0051764953
87,0.004942084
88,0.005008951
89,0.0052458327
90,0.0048052976
91,0.0049654236
92,0.0049481858
93,0.0056921626
94,0.0047886493
95,0.00491052
96,0.005221087
97,0.0048349258
98,0.0049567437
99,0.004775086
100,0.0049096076
101,0.006782835
102,0.004984452
103,0.0048168097
104,0.0049167806
105,0.0048941523
106,0.0046558985
107,0.0049471073
108,0.004828066
109,0.0048729405
110,0.0049646636
111,0.004862338
112,0.004932878
113,0.004922607
114,0.0049007344
115,0.0075220005
116,0.00482137
117,0.0048337444
118,0.0050165546
119,0.004874192
120,0.004848407
121,0.004973983
122,0.0047806688
123,0.0048167603
124,0.004869732
125,0.0050962646
126,0.004821376
127,0.0048863483
128,0.0048988247
129,0.004814542
130,0.0049137743
131,0.0048285583
132,0.0049107773
133,0.0048303492
134,0.0048271404
135,0.0052429456
136,0.004830272
137,0.0055457903
138,0.005040707
139,0.0049028704
140,0.004700406
141,0.0049508163
142,0.004974553
143,0.0050042598
144,0.004722531
145,0.004954192
146,0.0045515425
147,0.004917535
148,0.004785587
149,0.005073515
150,0.0053029386
151,0.0048283716
152,0.0048466707
153,0.0049288766
154,0.0049617854
155,0.005438107
156,0.0048986496
157,0.0049413703
158,0.0049715014
159,0.004794662
160,0.005059479
161,0.004970011
162,0.0049884296
163,0.0046982663
164,0.0050227097
165,0.0049044956
166,0.004860957
167,0.0049262
168,0.004840451
169,0.004677732
170,0.0047194646
171,0.0049809185
172,0.005524306
173,0.004792573
174,0.0049895695
175,0.0048784153
176,0.005135346
177,0.0052722655
178,0.004925447
179,0.005009248
180,0.0047960053
181,0.0049686013
182,0.00484931
183,0.0048185037
184,0.0050541614
185,0.0049113017
186,0.0048079276
187,0.004830197
188,0.004852938
189,0.0049490747
190,0.005015681
191,0.0051277066
192,0.0048789
193,0.0048250677
194,0.0049983365
195,0.004860146
196,0.004988146
197,0.0048907176
198,0.0049053235
199,0.0050884373
