classifier,num_bands,OA,AA,Kappa,classifier_time_sec,selected_bands,experiment,dataset,run
rf,10,0.8078048780487805,0.777982941363797,0.7794404773282724,4.244222402572632,"[4, 7, 16, 22, 32, 34, 70, 93, 101, 115]",exp1,Indian_pines,avg_band_imp
svc,10,0.8117073170731708,0.8612083394136139,0.7868724986876485,2.33345627784729,"[4, 7, 16, 22, 32, 34, 70, 93, 101, 115]",exp1,Indian_pines,avg_band_imp
knn,10,0.7839024390243903,0.7804383188006161,0.7529248942282396,0.11519074440002441,"[4, 7, 16, 22, 32, 34, 70, 93, 101, 115]",exp1,Indian_pines,avg_band_imp
rf,15,0.8429268292682927,0.8168564413724997,0.8200000872594638,4.116940975189209,"[4, 7, 16, 22, 32, 34, 41, 42, 70, 93, 101, 115, 137, 155, 172]",exp1,Indian_pines,avg_band_imp
svc,15,0.8648780487804878,0.9015709353118182,0.8470575307164285,1.7444171905517578,"[4, 7, 16, 22, 32, 34, 41, 42, 70, 93, 101, 115, 137, 155, 172]",exp1,Indian_pines,avg_band_imp
knn,15,0.8195121951219512,0.8171801851321203,0.7936021847419632,0.14161396026611328,"[4, 7, 16, 22, 32, 34, 41, 42, 70, 93, 101, 115, 137, 155, 172]",exp1,Indian_pines,avg_band_imp
rf,20,0.8546341463414634,0.834636676013985,0.8333505193167725,5.089750051498413,"[4, 7, 16, 22, 24, 32, 34, 41, 42, 60, 70, 73, 93, 101, 115, 137, 150, 155, 172, 177]",exp1,Indian_pines,avg_band_imp
svc,20,0.8717073170731707,0.9096131371683727,0.8545514484290936,1.5924673080444336,"[4, 7, 16, 22, 24, 32, 34, 41, 42, 60, 70, 73, 93, 101, 115, 137, 150, 155, 172, 177]",exp1,Indian_pines,avg_band_imp
knn,20,0.8195121951219512,0.786611267787669,0.7935266733050268,0.15167927742004395,"[4, 7, 16, 22, 24, 32, 34, 41, 42, 60, 70, 73, 93, 101, 115, 137, 150, 155, 172, 177]",exp1,Indian_pines,avg_band_imp
rf,25,0.8565853658536585,0.8477858569789207,0.8357172548672205,6.231738090515137,"[4, 7, 16, 22, 24, 32, 34, 41, 42, 60, 66, 70, 73, 80, 89, 93, 96, 101, 115, 135, 137, 150, 155, 172, 177]",exp1,Indian_pines,avg_band_imp
svc,25,0.8941463414634147,0.9266476677942558,0.879759026114334,1.685368299484253,"[4, 7, 16, 22, 24, 32, 34, 41, 42, 60, 66, 70, 73, 80, 89, 93, 96, 101, 115, 135, 137, 150, 155, 172, 177]",exp1,Indian_pines,avg_band_imp
knn,25,0.8219512195121951,0.7783602365968975,0.7962629464584741,0.13182306289672852,"[4, 7, 16, 22, 24, 32, 34, 41, 42, 60, 66, 70, 73, 80, 89, 93, 96, 101, 115, 135, 137, 150, 155, 172, 177]",exp1,Indian_pines,avg_band_imp
rf,30,0.8604878048780488,0.8490080388738128,0.8400483647039149,6.113448858261108,"[4, 7, 11, 16, 22, 24, 32, 34, 41, 42, 60, 66, 70, 73, 80, 85, 86, 89, 93, 96, 101, 115, 135, 137, 150, 155, 172, 176, 177, 191]",exp1,Indian_pines,avg_band_imp
svc,30,0.8897560975609756,0.9134623154335145,0.8748091264768294,1.8719196319580078,"[4, 7, 11, 16, 22, 24, 32, 34, 41, 42, 60, 66, 70, 73, 80, 85, 86, 89, 93, 96, 101, 115, 135, 137, 150, 155, 172, 176, 177, 191]",exp1,Indian_pines,avg_band_imp
knn,30,0.8165853658536585,0.7734252139343171,0.7902828705344984,0.1333756446838379,"[4, 7, 11, 16, 22, 24, 32, 34, 41, 42, 60, 66, 70, 73, 80, 85, 86, 89, 93, 96, 101, 115, 135, 137, 150, 155, 172, 176, 177, 191]",exp1,Indian_pines,avg_band_imp
rf,35,0.8624390243902439,0.8370788301636511,0.8423273906315032,6.061902761459351,"[4, 7, 11, 16, 22, 24, 32, 34, 41, 42, 49, 58, 60, 66, 70, 73, 80, 85, 86, 89, 93, 96, 101, 115, 125, 135, 137, 149, 150, 155, 172, 176, 177, 191, 199]",exp1,Indian_pines,avg_band_imp
svc,35,0.8878048780487805,0.913401874903196,0.8725828920575769,2.1605472564697266,"[4, 7, 11, 16, 22, 24, 32, 34, 41, 42, 49, 58, 60, 66, 70, 73, 80, 85, 86, 89, 93, 96, 101, 115, 125, 135, 137, 149, 150, 155, 172, 176, 177, 191, 199]",exp1,Indian_pines,avg_band_imp
knn,35,0.7629268292682927,0.6962549207226206,0.7286378206917816,0.13567519187927246,"[4, 7, 11, 16, 22, 24, 32, 34, 41, 42, 49, 58, 60, 66, 70, 73, 80, 85, 86, 89, 93, 96, 101, 115, 125, 135, 137, 149, 150, 155, 172, 176, 177, 191, 199]",exp1,Indian_pines,avg_band_imp
rf,40,0.8609756097560975,0.8282331021834248,0.8406792232617878,7.018308162689209,"[4, 7, 11, 16, 19, 22, 24, 28, 32, 34, 41, 42, 49, 56, 58, 60, 66, 70, 73, 80, 85, 86, 89, 93, 96, 101, 115, 125, 135, 137, 149, 150, 155, 160, 172, 176, 177, 184, 191, 199]",exp1,Indian_pines,avg_band_imp
svc,40,0.8965853658536586,0.9252463953835731,0.882475457354627,2.2914786338806152,"[4, 7, 11, 16, 19, 22, 24, 28, 32, 34, 41, 42, 49, 56, 58, 60, 66, 70, 73, 80, 85, 86, 89, 93, 96, 101, 115, 125, 135, 137, 149, 150, 155, 160, 172, 176, 177, 184, 191, 199]",exp1,Indian_pines,avg_band_imp
knn,40,0.7702439024390244,0.7312044748787706,0.7370754996736419,0.13396883010864258,"[4, 7, 11, 16, 19, 22, 24, 28, 32, 34, 41, 42, 49, 56, 58, 60, 66, 70, 73, 80, 85, 86, 89, 93, 96, 101, 115, 125, 135, 137, 149, 150, 155, 160, 172, 176, 177, 184, 191, 199]",exp1,Indian_pines,avg_band_imp
