classifier,num_bands,OA,AA,Kappa,classifier_time_sec,selected_bands,experiment,dataset,run,train_time_sec,model_size_mb
rf,10,0.7839024390243903,0.7194431239150829,0.7516897619021579,3.975572347640991,"[7, 8, 58, 70, 74, 89, 101, 115, 158, 162]",exp1,Indian_pines,0,21.86536955833435,53.904
svc,10,0.7834146341463415,0.8521511323026497,0.7555558539565737,2.213061809539795,"[7, 8, 58, 70, 74, 89, 101, 115, 158, 162]",exp1,Indian_pines,0,21.86536955833435,53.904
knn,10,0.748780487804878,0.6929070297039774,0.7120648312998552,0.11733436584472656,"[7, 8, 58, 70, 74, 89, 101, 115, 158, 162]",exp1,Indian_pines,0,21.86536955833435,53.904
rf,15,0.8117073170731708,0.7763981784335875,0.7838353772404577,3.692894697189331,"[7, 8, 58, 70, 74, 89, 101, 104, 115, 129, 142, 158, 162, 179, 183]",exp1,Indian_pines,0,21.86536955833435,53.904
svc,15,0.8121951219512196,0.8661682341593562,0.7877750924190063,2.3159573078155518,"[7, 8, 58, 70, 74, 89, 101, 104, 115, 129, 142, 158, 162, 179, 183]",exp1,Indian_pines,0,21.86536955833435,53.904
knn,15,0.7424390243902439,0.6700979484072365,0.7045816858658549,0.14442777633666992,"[7, 8, 58, 70, 74, 89, 101, 104, 115, 129, 142, 158, 162, 179, 183]",exp1,Indian_pines,0,21.86536955833435,53.904
rf,20,0.8365853658536585,0.8141034877640663,0.8126723761926025,4.802967309951782,"[7, 8, 14, 43, 44, 58, 70, 74, 81, 89, 101, 104, 113, 115, 129, 142, 158, 162, 179, 183]",exp1,Indian_pines,0,21.86536955833435,53.904
svc,20,0.8551219512195122,0.9022917227887526,0.8361654453186533,2.023554563522339,"[7, 8, 14, 43, 44, 58, 70, 74, 81, 89, 101, 104, 113, 115, 129, 142, 158, 162, 179, 183]",exp1,Indian_pines,0,21.86536955833435,53.904
knn,20,0.7702439024390244,0.7621368136496142,0.7367731614673312,0.16728448867797852,"[7, 8, 14, 43, 44, 58, 70, 74, 81, 89, 101, 104, 113, 115, 129, 142, 158, 162, 179, 183]",exp1,Indian_pines,0,21.86536955833435,53.904
rf,25,0.833170731707317,0.8214067530940246,0.8087001460056367,5.751105546951294,"[7, 8, 14, 43, 44, 58, 70, 74, 81, 89, 96, 101, 104, 113, 115, 129, 142, 158, 160, 161, 162, 179, 182, 183, 194]",exp1,Indian_pines,0,21.86536955833435,53.904
svc,25,0.8453658536585366,0.885155433492974,0.8249522682802789,2.186924934387207,"[7, 8, 14, 43, 44, 58, 70, 74, 81, 89, 96, 101, 104, 113, 115, 129, 142, 158, 160, 161, 162, 179, 182, 183, 194]",exp1,Indian_pines,0,21.86536955833435,53.904
knn,25,0.7790243902439025,0.7353493036433786,0.7468282996152739,0.13089656829833984,"[7, 8, 14, 43, 44, 58, 70, 74, 81, 89, 96, 101, 104, 113, 115, 129, 142, 158, 160, 161, 162, 179, 182, 183, 194]",exp1,Indian_pines,0,21.86536955833435,53.904
rf,30,0.8429268292682927,0.8321996578600003,0.8199372876570707,5.788452625274658,"[7, 8, 14, 19, 40, 43, 44, 58, 70, 74, 81, 82, 89, 96, 101, 104, 113, 115, 129, 142, 158, 160, 161, 162, 173, 179, 182, 183, 190, 194]",exp1,Indian_pines,0,21.86536955833435,53.904
svc,30,0.8639024390243902,0.8807428644461915,0.8456921272633238,2.1314659118652344,"[7, 8, 14, 19, 40, 43, 44, 58, 70, 74, 81, 82, 89, 96, 101, 104, 113, 115, 129, 142, 158, 160, 161, 162, 173, 179, 182, 183, 190, 194]",exp1,Indian_pines,0,21.86536955833435,53.904
knn,30,0.7892682926829269,0.7369947677209989,0.7588575467839777,0.1336371898651123,"[7, 8, 14, 19, 40, 43, 44, 58, 70, 74, 81, 82, 89, 96, 101, 104, 113, 115, 129, 142, 158, 160, 161, 162, 173, 179, 182, 183, 190, 194]",exp1,Indian_pines,0,21.86536955833435,53.904
rf,35,0.8575609756097561,0.8357891108757842,0.8368242832508005,5.699008464813232,"[7, 8, 14, 19, 34, 40, 43, 44, 58, 70, 74, 81, 82, 89, 96, 101, 104, 113, 114, 115, 128, 129, 142, 158, 160, 161, 162, 164, 173, 179, 182, 183, 189, 190, 194]",exp1,Indian_pines,0,21.86536955833435,53.904
svc,35,0.8853658536585366,0.9156358457071351,0.8698771645835759,1.9925963878631592,"[7, 8, 14, 19, 34, 40, 43, 44, 58, 70, 74, 81, 82, 89, 96, 101, 104, 113, 114, 115, 128, 129, 142, 158, 160, 161, 162, 164, 173, 179, 182, 183, 189, 190, 194]",exp1,Indian_pines,0,21.86536955833435,53.904
knn,35,0.811219512195122,0.777027481652094,0.7840971868817304,0.1368236541748047,"[7, 8, 14, 19, 34, 40, 43, 44, 58, 70, 74, 81, 82, 89, 96, 101, 104, 113, 114, 115, 128, 129, 142, 158, 160, 161, 162, 164, 173, 179, 182, 183, 189, 190, 194]",exp1,Indian_pines,0,21.86536955833435,53.904
rf,40,0.8580487804878049,0.8441547730904734,0.8374848633856707,6.792100667953491,"[7, 8, 14, 19, 34, 40, 43, 44, 48, 58, 69, 70, 74, 81, 82, 84, 89, 96, 99, 101, 104, 107, 113, 114, 115, 128, 129, 142, 158, 160, 161, 162, 164, 173, 179, 182, 183, 189, 190, 194]",exp1,Indian_pines,0,21.86536955833435,53.904
