,mean_importance
0,0.0048455317
1,0.0048606796
2,0.004844574
3,0.0048503326
4,0.0046812785
5,0.00459933
6,0.0048330855
7,0.004655729
8,0.0049457424
9,0.0047325813
10,0.0055007986
11,0.0048259557
12,0.004909277
13,0.006522575
14,0.00480364
15,0.0047548385
16,0.00497644
17,0.0048984773
18,0.004840656
19,0.0050050747
20,0.0047677704
21,0.0054397685
22,0.005354833
23,0.0050978297
24,0.0047962363
25,0.0051956843
26,0.005875991
27,0.0049551763
28,0.004812141
29,0.0051519973
30,0.0055245077
31,0.004892456
32,0.0048977146
33,0.0053041764
34,0.004922063
35,0.0048185177
36,0.0049821194
37,0.004785438
38,0.0047103614
39,0.0048636454
40,0.00489308
41,0.0048455643
42,0.005748824
43,0.004849913
44,0.0049214764
45,0.0046140016
46,0.0047992887
47,0.004889262
48,0.0049168062
49,0.0049268934
50,0.0051876334
51,0.0045027775
52,0.0048711584
53,0.0050139306
54,0.0050712237
55,0.004834875
56,0.0048491973
57,0.004976592
58,0.0047303173
59,0.005041703
60,0.004964278
61,0.0047488534
62,0.0054566185
63,0.004989183
64,0.0048922575
65,0.005658592
66,0.0046992227
67,0.0047756336
68,0.0053684344
69,0.0049849213
70,0.0047588293
71,0.004971461
72,0.004910794
73,0.0048275553
74,0.004914739
75,0.0048804227
76,0.005441648
77,0.0048493985
78,0.004909546
79,0.004888634
80,0.00483436
81,0.004822157
82,0.0047661057
83,0.0051850816
84,0.004716287
85,0.0048179976
86,0.0047851154
87,0.0047764033
88,0.0059905695
89,0.004753473
90,0.0047066654
91,0.004918841
92,0.004810368
93,0.005056052
94,0.0048673577
95,0.0048172306
96,0.0054794354
97,0.0049204733
98,0.0047783083
99,0.0047436953
100,0.0046968027
101,0.005923005
102,0.0047756163
103,0.0047381446
104,0.00501602
105,0.0046740742
106,0.0047598034
107,0.0047489526
108,0.0049577868
109,0.0047598956
110,0.004884088
111,0.0048002056
112,0.0049378583
113,0.004921444
114,0.00502344
115,0.0050816075
116,0.0051429616
117,0.004860266
118,0.005764284
119,0.0048512095
120,0.004781765
121,0.0055831443
122,0.0049817865
123,0.0049168146
124,0.0047923857
125,0.005515523
126,0.004792599
127,0.0049284147
128,0.0053514773
129,0.00528376
130,0.006715028
131,0.0049770083
132,0.005375253
133,0.0047691525
134,0.0048354496
135,0.005097269
136,0.0048467554
137,0.004718094
138,0.004902794
139,0.004918505
140,0.0046596145
141,0.004763027
142,0.0047443574
143,0.005703914
144,0.004855854
145,0.004842772
146,0.0047429935
147,0.0067474335
148,0.0050612255
149,0.0046824575
150,0.00477355
151,0.004684681
152,0.0050193495
153,0.0049927444
154,0.005346465
155,0.004651595
156,0.0048618494
157,0.004817062
158,0.004692656
159,0.0046399413
160,0.00480057
161,0.0047424487
162,0.004902963
163,0.004832684
164,0.0049859113
165,0.0048602293
166,0.0049031787
167,0.0048075393
168,0.0055267713
169,0.0057627237
170,0.004889727
171,0.004863278
172,0.0049643177
173,0.0049586105
174,0.0048805457
175,0.0047579133
176,0.0047787493
177,0.0046837027
178,0.0048963865
179,0.0053891623
180,0.0047420757
181,0.0047453744
182,0.005787928
183,0.006235633
184,0.004935634
185,0.0050877123
186,0.0048712986
187,0.006376834
188,0.0056162104
189,0.004686714
190,0.0048125265
191,0.004836874
192,0.0061221374
193,0.0049690045
194,0.004815905
195,0.004911805
196,0.004688048
197,0.005392106
198,0.004895533
199,0.0046426854
