,mean_importance
0,0.0047878544
1,0.005349237
2,0.004912112
3,0.0049542817
4,0.0048873397
5,0.0048039597
6,0.0048345984
7,0.0048927693
8,0.004853475
9,0.0047923275
10,0.0049101575
11,0.0047907494
12,0.004866537
13,0.004946993
14,0.0048227287
15,0.0052535413
16,0.0048009013
17,0.0048499983
18,0.0047379537
19,0.0049738833
20,0.0049967063
21,0.0047677928
22,0.0047135525
23,0.0048397286
24,0.0047717765
25,0.004775542
26,0.004864387
27,0.00483399
28,0.004744709
29,0.0048889047
30,0.0047720675
31,0.0047199656
32,0.004822657
33,0.0049769543
34,0.00496264
35,0.004791183
36,0.004851221
37,0.005127472
38,0.0048405044
39,0.004942336
40,0.0048642326
41,0.0047946554
42,0.0047575943
43,0.0047886744
44,0.004739507
45,0.0047522127
46,0.0051253457
47,0.0050780713
48,0.0049242373
49,0.004817722
50,0.0047367215
51,0.0048486427
52,0.0048817797
53,0.0048016864
54,0.004725403
55,0.0049943966
56,0.00508391
57,0.0048256284
58,0.004808827
59,0.0048681004
60,0.004836184
61,0.0049611954
62,0.0050801234
63,0.004741837
64,0.0049286275
65,0.0049098236
66,0.0048765466
67,0.004945402
68,0.0048089144
69,0.0048625097
70,0.0048938645
71,0.0052714963
72,0.0049346974
73,0.0048274742
74,0.0049646376
75,0.0048679523
76,0.0047790045
77,0.0047883014
78,0.0048923725
79,0.004934843
80,0.004820511
81,0.004826906
82,0.004798506
83,0.0048665944
84,0.00482687
85,0.0047302195
86,0.0054847444
87,0.0049152696
88,0.0049483823
89,0.004960388
90,0.004871919
91,0.0048367917
92,0.0053927237
93,0.004759247
94,0.0048909863
95,0.0049068374
96,0.00492327
97,0.0048125205
98,0.005069246
99,0.004877833
100,0.0049722544
101,0.0048542335
102,0.0047972207
103,0.0048738555
104,0.004929938
105,0.004760362
106,0.0049693882
107,0.0051283045
108,0.0048447596
109,0.006176623
110,0.0048199743
111,0.0048966184
112,0.005230216
113,0.0047493265
114,0.004967027
115,0.004699692
116,0.0049446095
117,0.004900147
118,0.0047756946
119,0.0048970864
120,0.004926084
121,0.0050632604
122,0.004837475
123,0.0049880547
124,0.0063604787
125,0.0049538407
126,0.0048363404
127,0.005049561
128,0.0046206117
129,0.004770589
130,0.0049696113
131,0.004872824
132,0.004963833
133,0.004786856
134,0.004926878
135,0.0048443335
136,0.00489264
137,0.0045645162
138,0.005005098
139,0.0047739297
140,0.0049143927
141,0.00484185
142,0.004967578
143,0.0047992878
144,0.004669641
145,0.004861628
146,0.004807354
147,0.004905288
148,0.004915667
149,0.0047942093
150,0.005221402
151,0.0047194073
152,0.004969083
153,0.0048331814
154,0.005019501
155,0.0047792965
156,0.0046593044
157,0.0047339974
158,0.0048255525
159,0.0047689304
160,0.0048464965
161,0.004695102
162,0.005027023
163,0.004690407
164,0.0047263997
165,0.0049495306
166,0.004935973
167,0.0047459006
168,0.005013098
169,0.0050300425
170,0.004947465
171,0.004997817
172,0.005327957
173,0.004837679
174,0.00502096
175,0.0049001346
176,0.004893276
177,0.005299427
178,0.0049579167
179,0.0050176443
180,0.004800819
181,0.0049052774
182,0.0049971673
183,0.004761235
184,0.004858317
185,0.004701072
186,0.0048228237
187,0.004823379
188,0.0048571303
189,0.004888573
190,0.0049274764
191,0.004699093
192,0.0047297915
193,0.005518387
194,0.004914833
195,0.0050105006
196,0.004825417
197,0.004846952
198,0.00480923
199,0.0048704324
200,0.0049247732
201,0.0047962777
202,0.004899178
203,0.0048825187
