classifier,num_bands,OA,AA,Kappa,classifier_time_sec,selected_bands,experiment,dataset,run,train_time_sec,model_size_mb
rf,10,0.9346942545723259,0.9624452433876686,0.9271852071348847,13.81413745880127,"[46, 56, 86, 107, 123, 127, 130, 143, 187, 193]",exp1,KSC,0,62.93518018722534,230.19
svc,10,0.9203768704969518,0.9614784121039237,0.9113480471573064,18.74801754951477,"[46, 56, 86, 107, 123, 127, 130, 143, 187, 193]",exp1,KSC,0,62.93518018722534,230.19
knn,10,0.9020875669684094,0.9440797221586272,0.8908097703197835,0.6608402729034424,"[46, 56, 86, 107, 123, 127, 130, 143, 187, 193]",exp1,KSC,0,62.93518018722534,230.19
rf,15,0.9420838721596158,0.9679928876749705,0.9354173366176077,13.864947080612183,"[33, 46, 56, 62, 86, 107, 120, 123, 124, 127, 129, 130, 143, 187, 193]",exp1,KSC,0,62.93518018722534,230.19
svc,15,0.9297986329207464,0.9696016538048751,0.9218687786034087,18.21700930595398,"[33, 46, 56, 62, 86, 107, 120, 123, 124, 127, 129, 130, 143, 187, 193]",exp1,KSC,0,62.93518018722534,230.19
knn,15,0.9105856271937928,0.9520011923253338,0.9003266576547979,0.8387913703918457,"[33, 46, 56, 62, 86, 107, 120, 123, 124, 127, 129, 130, 143, 187, 193]",exp1,KSC,0,62.93518018722534,230.19
rf,20,0.9443007574358027,0.9695242480862666,0.9379021118394716,17.329980611801147,"[33, 46, 56, 62, 86, 88, 107, 111, 120, 121, 123, 124, 127, 129, 130, 143, 154, 171, 187, 193]",exp1,KSC,0,62.93518018722534,230.19
svc,20,0.9320155181969333,0.9706384827522183,0.924332203780444,17.903566360473633,"[33, 46, 56, 62, 86, 88, 107, 111, 120, 121, 123, 124, 127, 129, 130, 143, 154, 171, 187, 193]",exp1,KSC,0,62.93518018722534,230.19
knn,20,0.9110474782929984,0.9534306131573329,0.9008686951062067,1.6444196701049805,"[33, 46, 56, 62, 86, 88, 107, 111, 120, 121, 123, 124, 127, 129, 130, 143, 154, 171, 187, 193]",exp1,KSC,0,62.93518018722534,230.19
rf,25,0.9451320894143728,0.9712337717588053,0.9388246781458637,21.9673011302948,"[33, 34, 40, 46, 50, 56, 58, 62, 86, 88, 107, 111, 120, 121, 123, 124, 127, 129, 130, 143, 154, 166, 171, 187, 193]",exp1,KSC,0,62.93518018722534,230.19
svc,25,0.934047663033438,0.9720422430146062,0.9265837835912596,19.44893717765808,"[33, 34, 40, 46, 50, 56, 58, 62, 86, 88, 107, 111, 120, 121, 123, 124, 127, 129, 130, 143, 154, 166, 171, 187, 193]",exp1,KSC,0,62.93518018722534,230.19
knn,25,0.9168668021429891,0.9570807107545131,0.90735603573516,1.6567730903625488,"[33, 34, 40, 46, 50, 56, 58, 62, 86, 88, 107, 111, 120, 121, 123, 124, 127, 129, 130, 143, 154, 166, 171, 187, 193]",exp1,KSC,0,62.93518018722534,230.19
rf,30,0.9483650471088121,0.9738275281121269,0.9424429032185475,21.58539390563965,"[17, 33, 34, 40, 46, 50, 56, 58, 62, 64, 78, 86, 88, 107, 111, 120, 121, 123, 124, 127, 129, 130, 143, 154, 166, 171, 187, 193, 195, 197]",exp1,KSC,0,62.93518018722534,230.19
svc,30,0.9376501016072418,0.9736265053654496,0.9305894347612685,21.35521936416626,"[17, 33, 34, 40, 46, 50, 56, 58, 62, 64, 78, 86, 88, 107, 111, 120, 121, 123, 124, 127, 129, 130, 143, 154, 166, 171, 187, 193, 195, 197]",exp1,KSC,0,62.93518018722534,230.19
knn,30,0.9173286532421947,0.9580412170564508,0.9078798496927024,1.7363760471343994,"[17, 33, 34, 40, 46, 50, 56, 58, 62, 64, 78, 86, 88, 107, 111, 120, 121, 123, 124, 127, 129, 130, 143, 154, 166, 171, 187, 193, 195, 197]",exp1,KSC,0,62.93518018722534,230.19
rf,35,0.9473489746905598,0.973016443947561,0.9413040424954768,21.454525470733643,"[17, 33, 34, 40, 46, 50, 56, 58, 62, 64, 78, 85, 86, 88, 107, 111, 114, 120, 121, 123, 124, 127, 129, 130, 136, 143, 154, 166, 169, 171, 187, 193, 195, 197, 199]",exp1,KSC,0,62.93518018722534,230.19
svc,35,0.937834842046924,0.9734279284078726,0.9307866682161196,21.413371324539185,"[17, 33, 34, 40, 46, 50, 56, 58, 62, 64, 78, 85, 86, 88, 107, 111, 114, 120, 121, 123, 124, 127, 129, 130, 136, 143, 154, 166, 169, 171, 187, 193, 195, 197, 199]",exp1,KSC,0,62.93518018722534,230.19
knn,35,0.9162202106041012,0.9578024060438011,0.9066346344170916,1.841768741607666,"[17, 33, 34, 40, 46, 50, 56, 58, 62, 64, 78, 85, 86, 88, 107, 111, 114, 120, 121, 123, 124, 127, 129, 130, 136, 143, 154, 166, 169, 171, 187, 193, 195, 197, 199]",exp1,KSC,0,62.93518018722534,230.19
rf,40,0.9483650471088121,0.9732196979467316,0.9424276081684811,25.28412103652954,"[3, 17, 33, 34, 40, 46, 50, 56, 58, 61, 62, 64, 78, 85, 86, 88, 89, 107, 108, 111, 114, 120, 121, 123, 124, 127, 129, 130, 136, 140, 143, 154, 166, 169, 171, 187, 193, 195, 197, 199]",exp1,KSC,0,62.93518018722534,230.19
svc,40,0.9386661740254941,0.9749787692558739,0.9317136095956362,21.96960973739624,"[3, 17, 33, 34, 40, 46, 50, 56, 58, 61, 62, 64, 78, 85, 86, 88, 89, 107, 108, 111, 114, 120, 121, 123, 124, 127, 129, 130, 136, 140, 143, 154, 166, 169, 171, 187, 193, 195, 197, 199]",exp1,KSC,0,62.93518018722534,230.19
knn,40,0.9178828745612414,0.958935363915858,0.9084561012626634,1.8321771621704102,"[3, 17, 33, 34, 40, 46, 50, 56, 58, 61, 62, 64, 78, 85, 86, 88, 89, 107, 108, 111, 114, 120, 121, 123, 124, 127, 129, 130, 136, 140, 143, 154, 166, 169, 171, 187, 193, 195, 197, 199]",exp1,KSC,0,62.93518018722534,230.19
rf,10,0.9447626085350083,0.9714970351099241,0.938425348705168,13.957130908966064,"[15, 37, 48, 59, 101, 150, 154, 172, 177, 199]",exp1,KSC,1,62.8134708404541,230.19
svc,10,0.9329392203953445,0.9721196058748343,0.9253664083544754,15.93983769416809,"[15, 37, 48, 59, 101, 150, 154, 172, 177, 199]",exp1,KSC,1,62.8134708404541,230.19
knn,10,0.9157583595048956,0.9583301479809038,0.9061021301503751,0.7580246925354004,"[15, 37, 48, 59, 101, 150, 154, 172, 177, 199]",exp1,KSC,1,62.8134708404541,230.19
rf,15,0.9477184555699243,0.9734851969619664,0.941721481223319,14.310685873031616,"[15, 21, 37, 47, 48, 59, 75, 101, 147, 150, 154, 171, 172, 177, 199]",exp1,KSC,1,62.8134708404541,230.19
