,mean_importance
0,0.004859502
1,0.005062537
2,0.0050075063
3,0.0048006787
4,0.004862963
5,0.0048073656
6,0.005086439
7,0.0046293265
8,0.004786036
9,0.0048848866
10,0.0049662264
11,0.004933643
12,0.005748524
13,0.0048800656
14,0.0048449645
15,0.004734495
16,0.0047294316
17,0.0047564534
18,0.0049122972
19,0.0047344365
20,0.0048786826
21,0.0050584567
22,0.0048333984
23,0.0048592044
24,0.0058473954
25,0.004864659
26,0.0047153784
27,0.0049857264
28,0.006382431
29,0.0048997123
30,0.004703154
31,0.0048187943
32,0.004920109
33,0.0049357214
34,0.0050128773
35,0.0047774445
36,0.004779555
37,0.0046677277
38,0.004952536
39,0.004808871
40,0.0047826013
41,0.0049399594
42,0.004879217
43,0.0048309537
44,0.0050467616
45,0.004714993
46,0.004837016
47,0.0049488223
48,0.004707091
49,0.0047224634
50,0.004705258
51,0.0047519086
52,0.0047684116
53,0.0049016993
54,0.0047676032
55,0.004914124
56,0.0048314463
57,0.004944158
58,0.004937547
59,0.0049486053
60,0.004931166
61,0.0049233623
62,0.0047492534
63,0.0048768492
64,0.0047586104
65,0.004907015
66,0.004780509
67,0.004697738
68,0.005125995
69,0.004768829
70,0.0048938375
71,0.00474183
72,0.005203045
73,0.004827966
74,0.0048385286
75,0.0049380646
76,0.0047999346
77,0.0047783596
78,0.0049653174
79,0.0049327943
80,0.0047992426
81,0.005001997
82,0.004862041
83,0.0048257294
84,0.0047776587
85,0.0050431835
86,0.0046842704
87,0.0047790403
88,0.0048229177
89,0.0047163903
90,0.004875672
91,0.004728612
92,0.0050870404
93,0.0047919187
94,0.0048422245
95,0.00485991
96,0.004808379
97,0.004856619
98,0.004979637
99,0.0047673946
100,0.0047495975
101,0.004881747
102,0.004769417
103,0.0047614514
104,0.0048954254
105,0.004811786
106,0.0049579227
107,0.005020192
108,0.004865283
109,0.0047598938
110,0.004803957
111,0.0049433038
112,0.004898471
113,0.0048885485
114,0.006354167
115,0.00498592
116,0.0049049277
117,0.0049969917
118,0.0048633874
119,0.0049705813
120,0.0048568333
121,0.004959655
122,0.0047697816
123,0.0049070404
124,0.00477532
125,0.004868487
126,0.004855561
127,0.0048904773
128,0.0048917695
129,0.004815522
130,0.0049615437
131,0.004764328
132,0.0049085855
133,0.00473972
134,0.004723538
135,0.0048481785
136,0.004901963
137,0.0049777646
138,0.0050315247
139,0.005046154
140,0.005196095
141,0.004876459
142,0.0048154187
143,0.004964135
144,0.004809466
145,0.0048635686
146,0.0048506623
147,0.0058709523
148,0.004928463
149,0.004806193
150,0.004863181
151,0.005033519
152,0.004903011
153,0.0047688363
154,0.004811535
155,0.004782377
156,0.004760279
157,0.00495061
158,0.004810267
159,0.0048958207
160,0.0050405846
161,0.0052342946
162,0.0050284327
163,0.0049150316
164,0.0048161466
165,0.0046879123
166,0.0048963735
167,0.0048752376
168,0.0050601447
169,0.0050453125
170,0.0047844066
171,0.0047781533
172,0.004809286
173,0.004765137
174,0.0048817853
175,0.0049596503
176,0.004884504
177,0.0049080118
178,0.0048339306
179,0.004989297
180,0.004793006
181,0.0049911574
182,0.0050547263
183,0.0049781487
184,0.0055959905
185,0.004791555
186,0.005121003
187,0.0049205148
188,0.0047517284
189,0.0047781677
190,0.0048873336
191,0.0046203383
192,0.0046919286
193,0.0049946704
194,0.004993869
195,0.0050381757
196,0.004730788
197,0.004946945
198,0.0047426503
199,0.004802794
200,0.0048182593
201,0.0049937135
202,0.0047062016
203,0.0049660103
