classifier,num_bands,OA,AA,Kappa,classifier_time_sec,selected_bands,experiment,dataset,run
rf,10,0.9341400332532791,0.9664966157444235,0.9265910069599779,13.201398849487305,"[12, 24, 28, 68, 72, 114, 140, 147, 161, 184]",exp1,Salinas,avg_band_imp
svc,10,0.9149270275263255,0.9638359970107133,0.9053608632569639,17.166425228118896,"[12, 24, 28, 68, 72, 114, 140, 147, 161, 184]",exp1,Salinas,avg_band_imp
knn,10,0.8998706816922224,0.948549272084394,0.8884214193553761,0.6840000152587891,"[12, 24, 28, 68, 72, 114, 140, 147, 161, 184]",exp1,Salinas,avg_band_imp
rf,15,0.9395898762239054,0.9699995273874984,0.9326809020271022,13.523563385009766,"[1, 6, 12, 24, 28, 68, 72, 92, 114, 140, 147, 161, 168, 184, 186]",exp1,Salinas,avg_band_imp
svc,15,0.9279512285239239,0.9699128731357964,0.9198157928631433,19.281962633132935,"[1, 6, 12, 24, 28, 68, 72, 92, 114, 140, 147, 161, 168, 184, 186]",exp1,Salinas,avg_band_imp
knn,15,0.8984851283946056,0.945807098389501,0.8868099286835729,0.903740644454956,"[1, 6, 12, 24, 28, 68, 72, 92, 114, 140, 147, 161, 168, 184, 186]",exp1,Salinas,avg_band_imp
rf,20,0.9453168298540551,0.973113184238753,0.9390584143371378,17.18881106376648,"[1, 6, 12, 21, 24, 28, 44, 68, 72, 92, 114, 139, 140, 147, 161, 168, 169, 182, 184, 186]",exp1,Salinas,avg_band_imp
svc,20,0.933308701274709,0.9732278264872277,0.9257763863475047,18.971516847610474,"[1, 6, 12, 21, 24, 28, 44, 68, 72, 92, 114, 139, 140, 147, 161, 168, 169, 182, 184, 186]",exp1,Salinas,avg_band_imp
knn,20,0.9074450397191945,0.9508197325950847,0.8968362373656357,1.5988917350769043,"[1, 6, 12, 21, 24, 28, 44, 68, 72, 92, 114, 139, 140, 147, 161, 168, 169, 182, 184, 186]",exp1,Salinas,avg_band_imp
rf,25,0.9478108257897654,0.9738350580035534,0.941835836569911,20.69105839729309,"[1, 6, 12, 21, 24, 28, 44, 68, 72, 85, 92, 114, 138, 139, 140, 147, 151, 160, 161, 168, 169, 182, 184, 186, 195]",exp1,Salinas,avg_band_imp
