classifier,num_bands,OA,AA,Kappa,classifier_time_sec,selected_bands,experiment,dataset,run,train_time_sec,model_size_mb
rf,10,0.9346018843524848,0.96874649811859,0.9271160841744069,13.732915878295898,"[18, 21, 34, 85, 92, 115, 151, 160, 182, 186]",exp1,Salinas,0,62.618818283081055,230.19
svc,10,0.91529650840569,0.9661280011677007,0.9057994013409044,17.61673903465271,"[18, 21, 34, 85, 92, 115, 151, 160, 182, 186]",exp1,Salinas,0,62.618818283081055,230.19
knn,10,0.9026417882874561,0.9556278237533625,0.8915943898724612,0.6580250263214111,"[18, 21, 34, 85, 92, 115, 151, 160, 182, 186]",exp1,Salinas,0,62.618818283081055,230.19
rf,15,0.946794753371513,0.9738065742488806,0.9407047766205179,14.437759160995483,"[0, 2, 14, 18, 21, 34, 41, 63, 85, 92, 115, 151, 160, 182, 186]",exp1,Salinas,0,62.618818283081055,230.19
svc,15,0.9328468501755034,0.972362184716747,0.9252676011228895,20.51826310157776,"[0, 2, 14, 18, 21, 34, 41, 63, 85, 92, 115, 151, 160, 182, 186]",exp1,Salinas,0,62.618818283081055,230.19
knn,15,0.9030112691668206,0.9460886720085557,0.8919161016103315,0.8775818347930908,"[0, 2, 14, 18, 21, 34, 41, 63, 85, 92, 115, 151, 160, 182, 186]",exp1,Salinas,0,62.618818283081055,230.19
rf,20,0.9474413449104009,0.9740877270646977,0.9414247160382051,17.789116382598877,"[0, 2, 12, 13, 14, 18, 21, 34, 41, 63, 66, 85, 92, 115, 151, 160, 182, 186, 199, 201]",exp1,Salinas,0,62.618818283081055,230.19
svc,20,0.9324773692961389,0.9718606713133472,0.924834562648575,21.776247024536133,"[0, 2, 12, 13, 14, 18, 21, 34, 41, 63, 66, 85, 92, 115, 151, 160, 182, 186, 199, 201]",exp1,Salinas,0,62.618818283081055,230.19
knn,20,0.8961758728985775,0.9445324725460639,0.8842866014506311,1.5918679237365723,"[0, 2, 12, 13, 14, 18, 21, 34, 41, 63, 66, 85, 92, 115, 151, 160, 182, 186, 199, 201]",exp1,Salinas,0,62.618818283081055,230.19
rf,25,0.9484574173286533,0.9744008110693074,0.9425591233086038,20.989259958267212,"[0, 2, 12, 13, 14, 18, 21, 32, 34, 41, 63, 66, 85, 92, 107, 110, 115, 119, 151, 160, 182, 186, 197, 199, 201]",exp1,Salinas,0,62.618818283081055,230.19
svc,25,0.9360798078699427,0.9735930998676001,0.9288477318751427,23.148659229278564,"[0, 2, 12, 13, 14, 18, 21, 32, 34, 41, 63, 66, 85, 92, 107, 110, 115, 119, 151, 160, 182, 186, 197, 199, 201]",exp1,Salinas,0,62.618818283081055,230.19
knn,25,0.9005172732311103,0.9471812586009282,0.8891418208700954,1.6877636909484863,"[0, 2, 12, 13, 14, 18, 21, 32, 34, 41, 63, 66, 85, 92, 107, 110, 115, 119, 151, 160, 182, 186, 197, 199, 201]",exp1,Salinas,0,62.618818283081055,230.19
rf,30,0.9486421577683355,0.9743572977300667,0.9427528091159293,20.774978399276733,"[0, 2, 12, 13, 14, 18, 21, 26, 32, 34, 41, 63, 66, 85, 92, 107, 110, 115, 119, 132, 143, 151, 160, 168, 182, 186, 190, 197, 199, 201]",exp1,Salinas,0,62.618818283081055,230.19
svc,30,0.9373729909477184,0.9744557697218528,0.9302762021721388,24.67771816253662,"[0, 2, 12, 13, 14, 18, 21, 26, 32, 34, 41, 63, 66, 85, 92, 107, 110, 115, 119, 132, 143, 151, 160, 168, 182, 186, 190, 197, 199, 201]",exp1,Salinas,0,62.618818283081055,230.19
knn,30,0.8998706816922224,0.9467018370325885,0.888402649313344,1.7292895317077637,"[0, 2, 12, 13, 14, 18, 21, 26, 32, 34, 41, 63, 66, 85, 92, 107, 110, 115, 119, 132, 143, 151, 160, 168, 182, 186, 190, 197, 199, 201]",exp1,Salinas,0,62.618818283081055,230.19
rf,35,0.9492887493072234,0.9747013968827345,0.9434792403291378,21.36830759048462,"[0, 2, 12, 13, 14, 18, 21, 26, 28, 32, 34, 41, 57, 63, 66, 85, 92, 107, 110, 115, 119, 132, 143, 151, 159, 160, 168, 175, 182, 186, 190, 197, 199, 201, 202]",exp1,Salinas,0,62.618818283081055,230.19
svc,35,0.9386661740254941,0.975171231804911,0.9317166368628582,26.176318645477295,"[0, 2, 12, 13, 14, 18, 21, 26, 28, 32, 34, 41, 57, 63, 66, 85, 92, 107, 110, 115, 119, 132, 143, 151, 159, 160, 168, 175, 182, 186, 190, 197, 199, 201, 202]",exp1,Salinas,0,62.618818283081055,230.19
knn,35,0.8946979493811196,0.9443119086703771,0.8826617975057954,1.8455946445465088,"[0, 2, 12, 13, 14, 18, 21, 26, 28, 32, 34, 41, 57, 63, 66, 85, 92, 107, 110, 115, 119, 132, 143, 151, 159, 160, 168, 175, 182, 186, 190, 197, 199, 201, 202]",exp1,Salinas,0,62.618818283081055,230.19
rf,40,0.948272676888971,0.9744313566642449,0.9423451267297681,24.170814990997314,"[0, 2, 12, 13, 14, 18, 21, 26, 28, 32, 34, 41, 47, 57, 63, 66, 85, 92, 107, 110, 112, 115, 119, 132, 143, 148, 151, 152, 154, 159, 160, 168, 175, 182, 186, 190, 197, 199, 201, 202]",exp1,Salinas,0,62.618818283081055,230.19
svc,40,0.9402364677627932,0.9756126692164822,0.9334668974870345,28.049209594726562,"[0, 2, 12, 13, 14, 18, 21, 26, 28, 32, 34, 41, 47, 57, 63, 66, 85, 92, 107, 110, 112, 115, 119, 132, 143, 148, 151, 152, 154, 159, 160, 168, 175, 182, 186, 190, 197, 199, 201, 202]",exp1,Salinas,0,62.618818283081055,230.19
knn,40,0.8971919453168299,0.9459195364330766,0.8854129172204633,1.9139008522033691,"[0, 2, 12, 13, 14, 18, 21, 26, 28, 32, 34, 41, 47, 57, 63, 66, 85, 92, 107, 110, 112, 115, 119, 132, 143, 148, 151, 152, 154, 159, 160, 168, 175, 182, 186, 190, 197, 199, 201, 202]",exp1,Salinas,0,62.618818283081055,230.19
rf,10,0.9356179567707371,0.9681494932647764,0.9282284951057278,11.86661958694458,"[12, 34, 60, 107, 112, 113, 137, 182, 184, 203]",exp1,Salinas,1,62.81041359901428,230.19
svc,10,0.9142804359874377,0.9635167831342197,0.904656987135785,18.363014936447144,"[12, 34, 60, 107, 112, 113, 137, 182, 184, 203]",exp1,Salinas,1,62.81041359901428,230.19
knn,10,0.8976537964160355,0.9447589410397146,0.8859423953379879,0.7128584384918213,"[12, 34, 60, 107, 112, 113, 137, 182, 184, 203]",exp1,Salinas,1,62.81041359901428,230.19
rf,15,0.9419915019397747,0.971507271300413,0.9353232369808882,12.568632125854492,"[11, 12, 34, 60, 87, 88, 107, 112, 113, 137, 138, 169, 182, 184, 203]",exp1,Salinas,1,62.81041359901428,230.19
svc,15,0.9290596711620174,0.9696624969519678,0.921044743949818,19.02088236808777,"[11, 12, 34, 60, 87, 88, 107, 112, 113, 137, 138, 169, 182, 184, 203]",exp1,Salinas,1,62.81041359901428,230.19
knn,15,0.8997783114723813,0.9491001640774284,0.8882878176305453,0.8809714317321777,"[11, 12, 34, 60, 87, 88, 107, 112, 113, 137, 138, 169, 182, 184, 203]",exp1,Salinas,1,62.81041359901428,230.19
rf,20,0.9460557916127841,0.97285467171552,0.9398661476256712,15.843146324157715,"[11, 12, 34, 43, 60, 87, 88, 105, 107, 112, 113, 132, 137, 138, 169, 182, 184, 190, 194, 203]",exp1,Salinas,1,62.81041359901428,230.19
svc,20,0.9328468501755034,0.9718806049461093,0.9252515201892834,18.072288990020752,"[11, 12, 34, 43, 60, 87, 88, 105, 107, 112, 113, 132, 137, 138, 169, 182, 184, 190, 194, 203]",exp1,Salinas,1,62.81041359901428,230.19
knn,20,0.9039349713652318,0.9519830597277106,0.8929136030703813,1.6347708702087402,"[11, 12, 34, 43, 60, 87, 88, 105, 107, 112, 113, 132, 137, 138, 169, 182, 184, 190, 194, 203]",exp1,Salinas,1,62.81041359901428,230.19
